State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019
8,Atlántico,8758,Soledad,525825,545067,571245,603999,638065,580,305,324,675,611
8,Atlántico,8770,Suan,11145,11319,11537,11940,12282,2,4,0,1,21
8,Atlántico,8832,Tubará,14696,15645,16526,17377,18190,12,8,10,11,8
8,Atlántico,8849,Usiacurí,11411,11689,11896,12250,12743,75,22,12,18,23
11,"Bogotá, D.C.",11001,"Bogotá, D.C.",7253823,7290415,7333415,7412566,7592871,0,0,0,0,0
13,Bolívar,13001,Cartagena de Indias,917661,929169,946674,973045,1003685,348,128,56,554,1922
13,Bolívar,13006,Achí,24245,24398,24337,24352,24610,45,8,5,2,6
13,Bolívar,13030,Altos del Rosario,10730,10820,10849,10972,11309,27,13,1,1,66
13,Bolívar,13042,Arenal,7312,7290,7274,7365,7590,9,0,2,2,27
13,Bolívar,13052,Arjona,67312,67829,68333,69503,71837,272,72,18,6,175
13,Bolívar,13062,Arroyohondo,8299,8228,8177,8254,8504,0,1,0,1,5
13,Bolívar,13074,Barranco de Loba,16716,16204,15342,14836,14996,24,8,4,1,116
13,Bolívar,13140,Calamar,23038,22967,22632,22474,22794,5,3,1,8,10
13,Bolívar,13160,Cantagallo,8088,8104,8146,8234,8488,6,14,3,4,19
13,Bolívar,13188,Cicuco,12417,12829,13125,13442,13903,32,10,6,0,2
13,Bolívar,13212,Córdoba,15373,15563,15678,15960,16225,13,24,4,3,60
13,Bolívar,13222,Clemencia,13474,13835,14128,14511,15014,0,0,4,0,27
13,Bolívar,13244,El Carmen de Bolívar,70488,70079,69680,70131,71428,253,311,127,71,465
13,Bolívar,13248,El Guamo,8691,8622,8597,8647,8825,2,11,2,3,4
13,Bolívar,13268,El Peñón,7964,7796,7635,7651,7884,44,0,0,0,2
13,Bolívar,13300,Hatillo de Loba,12615,12491,12296,12317,12699,6,10,0,3,4
13,Bolívar,13430,Magangué,133166,132191,131761,133270,137030,738,255,92,54,179
13,Bolívar,13433,Mahates,26716,27063,27236,27692,28602,1,1,0,2,47
13,Bolívar,13440,Margarita,10754,10780,10682,10673,10913,9,8,1,0,9
