State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019,Age 0-4 (%),Age 5-14 (%),Age 15-29 (%),Age >30 (%),Afrocolombian Population (%),Indian Population (%),People with Disabilities (%),People who cannot read or write (%),Secondary/Higher Education (%),Employed population (%),Unemployed population (%),People doing housework (%),Retired people (%),Men (%),Women (%),Households without water access (%),Households without internet access (%),Building stratification 1 (%),Building stratification 2 (%),Building stratification 3 (%),Building stratification 4 (%),Building stratification 5 (%),Building stratification 6 (%),Number of hospitals per Km2,Number of houses per Km2
5,Antioquia,5113,Buriticá,8203,8488,8839,9354,9502,3,12,26,1,10,7.27,18.05,27.28,47.4,0.36,0.0,4.66,11.04,36.42,34.26,3.47,27.86,0.11,52.3,47.7,11.99,68.38,0.5177006659656502,0.2103049421661409,0.0077111812127585,0.0003505082369435682,0.0,0.0,0.002717391304347826,5.880434782608695
5,Antioquia,5120,Cáceres,28573,28609,28572,28996,29716,21,8,5,80,25,9.0,23.81,26.17,41.02,2.26,6.33,9.15,15.39,34.5,30.5,2.41,21.73,0.07,52.13,47.87,52.6,74.05,0.6086265366680796,0.04641797371767698,0.0018016108520559559,0.000105977108944468,0.0,0.0,0.000501002004008016,3.7670340681362724
5,Antioquia,5125,Caicedo,8168,8174,8164,8297,8420,1,8,1,0,0,7.34,18.27,26.7,47.69,0.23,0.01,13.85,11.81,33.6,28.85,9.6,23.5,0.13,50.38,49.62,16.71,65.24,0.40274234693877553,0.2576530612244898,0.01881377551020408,0.0,0.0,0.0,0.004524886877828055,10.063348416289593
5,Antioquia,5129,Caldas,76756,77356,78178,79638,81658,18,174,5,7,13,4.62,11.2,25.42,58.75,0.54,0.06,11.61,3.41,63.0,43.95,4.0,17.66,5.89,47.98,52.02,4.41,32.91,0.08981021238138275,0.5899608374755234,0.2165612291007682,0.003652658532911583,0.0018075011296882061,0.0003012501882813677,0.03007518796992481,181.82706766917292
5,Antioquia,5134,Campamento,8619,8820,8961,9203,9202,0,3,0,0,0,6.49,20.22,26.0,47.3,0.3,0.0,13.07,14.36,28.43,37.02,1.04,24.7,0.28,51.6,48.4,32.32,64.87,0.25702292541168875,0.3661608007749435,0.029060381013884404,0.0019373587342589602,0.0,0.0,0.005,10.945
5,Antioquia,5138,Cañasgordas,15262,15298,15296,15523,15490,75,26,6,1,3,6.36,16.75,24.44,52.45,0.34,0.02,6.99,10.24,43.16,33.95,5.68,23.46,0.71,50.62,49.38,28.09,74.13,0.5213739033040881,0.2592869143177151,0.007840209072241927,0.00018667164457718873,0.00018667164457718873,0.0,0.0025575447570332483,11.161125319693095
5,Antioquia,5142,Caracolí,5134,4934,4695,4582,4537,5,5,3,3,16,5.55,14.12,21.05,59.29,0.3,0.0,11.55,10.26,39.93,42.27,1.87,22.18,2.09,50.59,49.41,12.33,61.02,0.3303188957639219,0.34316991908614947,0.015230842455973346,0.00047596382674916705,0.0,0.0,0.0038461538461538464,5.711538461538462
5,Antioquia,5145,Caramanta,5591,5204,4867,4743,4670,0,1,0,0,0,4.33,15.2,20.17,60.3,0.35,0.02,11.15,8.15,40.08,36.71,2.44,27.69,1.1,50.32,49.68,14.4,64.4,0.19653179190751446,0.35067437379576105,0.1628131021194605,0.0,0.0004816955684007707,0.0,0.011627906976744186,17.511627906976745
5,Antioquia,5147,Carepa,46999,47085,47252,47932,49659,64,101,15,93,103,8.05,20.3,29.99,41.66,24.76,0.15,4.1,7.72,51.88,33.77,3.33,19.17,0.61,50.05,49.95,14.24,65.81,0.45622451427200766,0.3106260494123291,0.029143679539457904,0.0017390261453585991,5.996641880546894e-05,0.00011993283761093787,0.007894736842105263,36.3421052631579
5,Antioquia,5148,El Carmen de Viboral,53139,55075,57093,59416,61122,2,5,1,0,0,6.7,14.56,26.74,52.0,0.29,0.05,13.31,5.81,57.15,44.87,2.44,16.71,3.39,49.51,50.49,4.45,44.67,0.044724927973658936,0.3658023505739242,0.32318104906937395,0.009832167192573285,0.0030639776832670235,0.0007774271733662596,0.002232142857142857,36.716517857142854
5,Antioquia,5150,Carolina,4259,4133,4000,3954,3954,0,1,0,1,0,3.86,11.85,21.51,62.79,1.14,0.24,6.76,6.67,57.43,35.0,6.46,22.67,4.34,49.24,50.76,9.72,52.63,0.23366107576633893,0.4667437825332562,0.015615962984384037,0.001156737998843262,0.000578368999421631,0.004048582995951417,0.005,6.3
5,Antioquia,5154,Caucasia,91203,90925,90361,90213,93044,105,57,16,95,69,8.44,19.63,26.94,45.0,4.07,1.27,5.0,8.24,52.03,35.8,4.8,17.46,0.42,48.43,51.57,11.07,59.36,0.44485450210653515,0.24987752702570298,0.0834775792808387,0.00702178385969496,0.0006205297364381594,0.0001959567588752082,0.010630758327427357,17.381289865343728
5,Antioquia,5172,Chigorodó,56201,56345,56584,57375,58684,7,16,18,134,161,8.17,20.39,28.91,42.54,49.56,4.0,6.27,9.73,51.04,33.22,5.84,19.42,0.53,48.39,51.61,16.38,64.79,0.48704186474467104,0.31656698870316413,0.011654654194142003,0.0005622859479629913,0.00010223380872054388,5.111690436027194e-05,0.004934210526315789,27.00657894736842
